Município,Empreend,Tipo Atualiz,Exec,Proj,Lote,Status Lote,Ação,Realiz,Inic Empreend,Fim Empreend,Data do Projeto,Data Medição,% Exec,Sit Empreend,Valor Empreend,Valor Tesouro,Valor Contrap,Empreendimento,Progr,Programa,Cód.Componente,Componente,Cód Bem,Remessa,Ind Aceita,Cód. Escr. Reg,Executor,Escritório Regional,Cód Assoc,Nº Convênio,Associação
Coronel Vivida,100222,A,75,31,1,Concluído,,1093,1/17/2014,1/18/2014,9/2/2013,1/18/2014,100,1,"234,500.00","234,500.00",0,Aquisição de Equipamento(s) Rodoviários sendo:LOTE 01 - 01 (UM) CAMINHÃO CAÇAMBA BASCULANTE TRAÇADO 6x4 com mínima potência efetiva líquida de 275 CV e demais características técnicas constantes no MODELO 07.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,5,Coronel Vivida,Escritório Regional de Cascavel,8,1923/2013-0010,Associação dos Municípios do Sudoeste do Paraná
Corumbataí do Sul,100223,A,76,23,1,Concluído,,1093,3/26/2014,3/27/2014,9/19/2013,3/27/2014,100,1,"218,900.00","180,000.00","38,900.00","Aquisição de 01 caminhão toco 4x2 com basculante, motor mínima potência 230 CV, direção hidráulica, caçamba com capacidade mínima de 6,00 m3 e demais especificações conforme modelo 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,4,Corumbataí do Sul,Escritório Regional de Maringá,18,1923/2013-0149,Comunidade dos Municípios da Região de Campo Mourão
Corumbataí do Sul,100439,A,76,25,1,Concluído,,1092,12/11/2015,12/12/2015,9/23/2013,12/12/2015,100,1,"115,000.00","115,000.00",0,"Aquisição de 01 Van para a área de saúde, motor mínima potência efetiva 125 CV, diesel, direção hidráulica.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,4,Corumbataí do Sul,Escritório Regional de Maringá,18,1923/2013-0150,Comunidade dos Municípios da Região de Campo Mourão
Cruz Machado,100224,A,77,16,1,Concluído,,1092,12/2/2014,12/3/2014,3/17/2014,12/3/2014,100,1,"283,000.00","283,000.00",0,"Aquisição de 01 microônibus para apoio à saúde, motor mínima potência efetiva de 165 CV, á diesel e demais especificações conforme MODELO 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,2,Cruz Machado,Escritório Regional de Ponta Grossa,10,1923/2013-0633,Associação dos Municípios do Sul do Paraná
Cruzeiro do Iguaçu,100225,A,78,11,1,Concluído,,246,7/4/2014,6/30/2015,4/28/2014,6/30/2015,100,1,"430,580.30","300,000.00","130,580.30",Creche - Construção Civil.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.02,CRECHE,,10051,1,5,Cruzeiro do Iguaçu,Escritório Regional de Cascavel,8,1923/2013-0151,Associação dos Municípios do Sudoeste do Paraná
Cruzeiro do Sul,100226,A,80,25,1,Concluído,,234,1/19/2015,1/20/2015,9/12/2014,1/20/2015,100,1,"210,000.00","200,000.00","10,000.00",RECAPE - CBUQ.Avenida Dr. Gastão Vidigal (entre a Pç Dr. Antônio Moraes de Barros e a Rua Carlinda Duarte Cantele).Avenida Dr. Gastão Vidigal (entre as ruas Carlinda Duarte Cantele e Manoel Junquira de Souza).Avenida Dr. Gastão Vidigal (entre as ruas Mano,20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Cruzeiro do Sul,Escritório Regional de Maringá,13,2023/2014-0121,Associação dos Municípios do Noroeste do Paraná
Cruzeiro do Sul,100227,A,80,23,1,Concluído,,234,3/20/2014,4/15/2014,10/3/2013,4/15/2014,100,1,"304,016.90","300,000.00","4,016.90",RECAPE - TST.Rua Carlinda Duarte Cantele (entre as ruas Valdir de Carvalho e Semiramis de Barros Braga).Rua Carlinda Duarte Cantele (entre as ruas Alipio Gomes de Azevedo e Eduardo Schincariol).Rua Dr. Romário Martins (entre as ruas Valdir de Carvalho e S,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Cruzeiro do Sul,Escritório Regional de Maringá,13,1923/2013-0060,Associação dos Municípios do Noroeste do Paraná
Cruzmaltina,100121,A,381,15,1,Medição Encerrada,,1097,10/9/2014,11/25/2015,11/29/2013,11/25/2015,100,1,"297,475.59","297,475.59",0,"Urbanização / Calçadas.Av. Padre Gualter Farias Negrão, entre Rua Piauí e Rua Eurides Cavalheiro de Almeida.Av. Padre Gualter Farias Negrão, entre Rua Eurides Cavalheiro de Almeida e Rua José A. de Bonfim.Av. Padre Gualter Farias Negrão, Rua José A. de Bo",21,PROJETO CALÇADAS PARANÁ,21.23.01.01.05,URBANIZAÇÃO /CALÇADAS,,10051,1,3,Cruzmaltina,Escritório Regional de Londrina,15,2123/2013-0412,Associação dos Municípios do Vale do Ivaí
Cruzmaltina,100228,A,381,16,1,Concluído,,1090,7/3/2014,7/4/2014,12/3/2013,7/4/2014,100,1,"100,000.00","100,000.00",0,"Trata- se aquisição de área para aterro sanitário. com área de 12.100,00m2.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.05.04,TERRENO PARA ATERRO SANITÁRIO,,10051,1,3,Cruzmaltina,Escritório Regional de Londrina,15,1923/2013-0594,Associação dos Municípios do Vale do Ivaí
Diamante d'Oeste,100229,A,83,12,1,Concluído,,1093,12/6/2013,12/7/2013,8/30/2013,12/7/2013,100,1,"228,000.00","228,000.00",0,"Aquisição de 01 caminhão 6x2 trucado equipado com caçamba basculante, motor mínima potência de 230 CV, com 6 marchas à frente, tração com dupla redução, capacidade de carga sobre o chassi de 16.000 kg, direção hidráulica, caçamba basculante com capacidade",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,5,Diamante d'Oeste,Escritório Regional de Cascavel,7,1923/2013-0325,Associação dos Municípios do Oeste do Paraná
Diamante d'Oeste,100230,A,83,11,1,Concluído,,1092,12/6/2013,12/7/2013,8/30/2013,12/7/2013,100,1,"110,000.00","96,456.13","13,543.87","Aquisição de 01 veículo utilitário para transporte de pacientes, 14 a 16 lugares,com motor potência mínima de 125 CV, a diesel, marcha com transmissão manual, 6 marchas a frente, direção hidráulica, poltronas fixas, cinto de segurança e demais característ",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,5,Diamante d'Oeste,Escritório Regional de Cascavel,7,1923/2013-0326,Associação dos Municípios do Oeste do Paraná
Diamante d'Oeste,100504,A,83,13,1,Concluído,,1239,11/19/2014,11/20/2014,6/16/2014,11/20/2014,100,1,"118,990.00","99,991.60","18,998.40","Aquisição de Veículo para Transporte de Passageiro sendo: Lote 1 - 01 (UM) VEÍCULO TIPO VAN capacidade de transporte passageiros 15(14+1), mínima potência efetiva líquida 115 CV e demais características técnicas constante do MODELO 07.",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 20,,10051,1,5,Diamante d'Oeste,Escritório Regional de Cascavel,7,2023/2014-0106,Associação dos Municípios do Oeste do Paraná
Diamante do Sul,100580,A,359,16,1,Concluído,,223,5/27/2014,6/22/2015,8/14/2013,6/22/2015,100,1,"230,000.00","230,000.00",0,Pavimentação - Pedra Irregular e Lajota Sextavada.Avenida Getulio Vargas 1 - entre rua Eudóxio Badótti e rua sem nome) e rua sem nome (entre av Getulio Vargas e rua Ivan Ferreira do Amaral).Avenida Getulio Vargas 2 - entre rua Des. Antonio F. Ferreira da ,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Diamante do Sul,Escritório Regional de Cascavel,7,1923/2013-0061,Associação dos Municípios do Oeste do Paraná
Diamante do Sul,100581,A,359,18,1,Medição Encerrada,,223,7/4/2014,7/1/2015,4/30/2014,7/1/2015,100,1,"54,607.30","52,006.95","2,600.35",Pavimentação - Pedra Irregular e Lajota Sextavada.Estrada Vicinal: Sede a Entrada da Comunidade Água Cristalina.,20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Diamante do Sul,Escritório Regional de Cascavel,7,2023/2014-0002,Associação dos Municípios do Oeste do Paraná
Dois Vizinhos,100505,A,85,32,1,Concluído,,223,6/2/2014,12/5/2014,12/17/2013,12/5/2014,100,1,"551,035.56","500,000.00","51,035.56",Pavimentação - Pedra Irregular e Lajota Sextavada.Vila Rural Verdes Campos.Linha São Roque.Linha Colônia Nova.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Dois Vizinhos,Escritório Regional de Cascavel,8,1923/2013-0455,Associação dos Municípios do Sudoeste do Paraná
Douradina,100231,A,86,16,1,Concluído,,233,1/21/2015,11/26/2015,4/30/2014,11/26/2015,100,1,"299,419.81","299,419.81",0,"Capela Mortuária.Contém os seguintes ambientes arquitetônicos: Copa, Cozinha, Depósito/DML/Almoxarifado/Despensa, Instalação Sanitária(2), Varanda/Sacada, Sala de Repouso(2) e Sala.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.06.09,CAPELA * MORTUÁRIA,,10051,1,4,Douradina,Escritório Regional de Maringá,4,1923/2013-0063,Associação dos Municípios da Região de Entre Rios
Doutor Camargo,100232,A,87,32,1,Concluído,,234,6/24/2014,10/22/2014,12/12/2013,10/22/2014,100,1,"130,900.00","130,900.00",0,RECAPE - CBUQ.Rua 31 de Março (entre as ruas Palmital e General Carneiro).Rua Duque de Caxias (entre as ruas Miguel Couto e Castelo Branco).,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Doutor Camargo,Escritório Regional de Maringá,14,1923/2013-0362,Associação dos Municípos do Setentrião Paranaense
Doutor Camargo,100440,A,87,33,1,Concluído,,1093,4/8/2015,4/9/2015,5/16/2014,4/9/2015,100,1,"75,000.00","67,001.14","7,998.86","Aquisição de 01 vassoura varredoura coletora, especificações conforme MODELO 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,4,Doutor Camargo,Escritório Regional de Maringá,14,1923/2013-0319,Associação dos Municípos do Setentrião Paranaense
Enéas Marques,100091,A,90,9,1,Concluído,,234,6/29/2012,9/24/2012,3/28/2012,9/24/2012,100,1,"220,531.25","183,776.04","36,755.21",RECAPE - CBUQ.Av. Joaquim Bonetti (entre n° 1264 e nº 1378 da Quadra nº 04).Rua Rodolfo Vanderlinde (entre Rua Castelo Branco e Av. Presidente Dutra).Rua Rodolfo Vanderlinde (entre Av. Dionísio Oening e Rua Nicolau Vieira).Rua Gilvanei Baio (entre Rua Cas,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Enéas Marques,Escritório Regional de Cascavel,8,1723/2012-0012,Associação dos Municípios do Sudoeste do Paraná
Enéas Marques,100330,A,90,13,1,Concluído,,1093,6/25/2014,6/26/2014,5/6/2014,6/26/2014,100,1,"277,500.00","247,767.86","29,732.14","Aquisição de Equipamento(s) Rodoviário(s) sendo: Lote 1 - 01 (UM) CAMINHAO CAÇAMBA BASCULANTE 6x4 com potência mínima efetiva de 275 CV, Caçamba Basculante com capacidade de 14,0 m³ e demais características técnicas constantes no MODELO 07.",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 20,,10051,1,5,Enéas Marques,Escritório Regional de Cascavel,8,2023/2014-0042,Associação dos Municípios do Sudoeste do Paraná
Enéas Marques,100506,A,90,12,1,Em Execução,,223,6/25/2014,3/4/2017,3/7/2014,4/15/2016,71.38,2,"264,799.20","189,016.09",0,Pavimentação - Pedra Irregular e Lajota Sextavada.Rua Honorino Belle  (Entre Rua Francisco Campos até faixa de domínio da PR 471).Rua Nicolau Vieira  (Entre Rua Érico Verissimo e Prolongamento da Rua José Penso).Rua Gregório Pereira (Entre Rua Adolfo Lore,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Enéas Marques,Escritório Regional de Cascavel,8,1923/2013-0153,Associação dos Municípios do Sudoeste do Paraná
Enéas Marques,100615,A,90,14,1,Concluído,,1097,7/2/2014,3/4/2017,5/9/2014,6/20/2016,77.83,2,"250,000.00","194,581.55",0,Urbanização / Calçadas.Av. Joaquim Bonetti (entre a Rua Antonio Wessler e a Rua Érico Veríssimo).,20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.05,URBANIZAÇÃO /CALÇADAS,,10051,1,5,Enéas Marques,Escritório Regional de Cascavel,8,2023/2013-0652,Associação dos Municípios do Sudoeste do Paraná
Entre Rios do Oeste,100582,A,360,20,1,Concluído,,1097,5/8/2014,10/23/2014,1/8/2014,10/23/2014,100,1,"318,431.92","298,905.20","19,526.72","Urbanização / Calçadas.Urbanização de área de lazer denominada Praia Artificial considerando os seguintes serviços: locação da obra, regularização e compactação do terreno, instalação de poste de aço, instalações elétricas.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.05,URBANIZAÇÃO /CALÇADAS,,10051,1,5,Entre Rios do Oeste,Escritório Regional de Cascavel,7,1923/0155-2013,Associação dos Municípios do Oeste do Paraná
Entre Rios do Oeste,100583,A,360,25,1,Concluído,,1239,11/19/2014,11/20/2014,6/13/2014,11/20/2014,100,1,"118,500.00","99,579.83","18,920.17","Aquisição de Veículo para Transporte de Passageiro sendo: Lote 1 - 01 (UM) VEÍCULO TIPO VAN capacidade de transporte passageiros 16 (15+1), mínima potência efetiva líquida 115 CV e demais características técnicas constante do MODELO 07.",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 20,,10051,1,5,Entre Rios do Oeste,Escritório Regional de Cascavel,7,2023/2014-0112,Associação dos Municípios do Oeste do Paraná
Esperança Nova,100233,A,382,17,1,Concluído,,234,12/20/2013,3/5/2014,9/23/2013,3/5/2014,100,1,"300,445.46","300,000.00",445.46,RECAPE - CBUQ.Praça Manoel Alvino de Oliveira.Rua Gerimias P. de Carvalho (entre Pç Manoel Alvino de Oliveira e a Rua Tarcísio S. M. Maia).Rua Hercílio Luz (entre Pç Manoel Alvino de Oliveira e a Rua Tarcísio S. M. Maia).Rua Arlindo Rocha Ribeiro (entre P,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Esperança Nova,Escritório Regional de Maringá,4,1923/2013-0300,Associação dos Municípios da Região de Entre Rios
Farol,100235,A,93,31,1,Em Execução,,223,2/20/2014,3/4/2017,9/16/2013,3/25/2014,93.1,2,"325,458.98","279,291.49","23,701.59","Pavimentação -  CBUQ.RUA MARCELINA - entre Estrada Velha e Rua Santa Cruz mais 29,50m.AVENIDA FEDERAL entre Rua Marcelina e Rua A.RUA SANTA CRUZ entre Rua Marcelina mais 139,50m até o final do loteamento.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Farol,Escritório Regional de Maringá,18,1923/2013-0327,Comunidade dos Municípios da Região de Campo Mourão
Faxinal,100234,A,94,34,1,Concluído,,1093,7/2/2014,7/3/2014,4/16/2014,7/3/2014,100,1,"82,750.00","78,809.52","3,940.48","Aquisição de Equipamento(s) Rodoviário(s) sendo: Lote 01 - 01 (UM) COLETOR COMPACTADOR DE LIXO - capacidade volumétrica de lixo compactado 10,0m³ e de lixo solto 40,0m³, coleta traseira, sistema de compactação através de duas placas (compactadora e transp",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 20,,10051,1,3,Faxinal,Escritório Regional de Londrina,15,2023/2014-0013,Associação dos Municípios do Vale do Ivaí
Faxinal,100236,A,94,33,1,Concluído,,1093,6/5/2014,6/6/2014,1/27/2014,6/6/2014,100,1,"384,000.00","384,000.00",0,"Lote 1- Aquisição de 01 Caminhão Toco 4x2, motor mínima potência efetiva de 218 CV e demais especificações conforme MODELO 07Lote 2- Aquisição de 01 Rolo Compactador Vibratório, motor mínima potência efetiva de 80 HP e demais especificações conforme MODEL",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,3,Faxinal,Escritório Regional de Londrina,15,1923/2013-0590,Associação dos Municípios do Vale do Ivaí
Faxinal,100236,A,94,33,2,Concluído,,1093,6/5/2014,6/6/2014,1/27/2014,6/6/2014,100,1,"384,000.00","384,000.00",0,"Lote 1- Aquisição de 01 Caminhão Toco 4x2, motor mínima potência efetiva de 218 CV e demais especificações conforme MODELO 07Lote 2- Aquisição de 01 Rolo Compactador Vibratório, motor mínima potência efetiva de 80 HP e demais especificações conforme MODEL",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,3,Faxinal,Escritório Regional de Londrina,15,1923/2013-0590,Associação dos Municípios do Vale do Ivaí
Fazenda Rio Grande,100237,A,95,32,1,Medição Encerrada,,223,6/5/2014,3/4/2017,10/28/2013,11/23/2015,54.16,2,"1,192,324.96","558,280.63","87,475.60",Pavimentação -  CBUQ.Rua Xingú  (trecho entre Rua César Carelli e a Rua Nélson Claudino dos Santos).,20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,1,Fazenda Rio Grande,Escritório Regional de Curitiba,16,2023/2013-0492,Associação dos Municípios da Região Metropolitana de Curitiba
Fênix,100239,A,96,21,1,Concluído,,1092,7/3/2014,7/4/2014,12/2/2013,7/4/2014,100,1,"172,900.00","172,900.00",0,LOTE 1- Aquisição de 01 veículo ( tipo pickup) adaptada para ambulânciaLOTE 2- Aquisição de 01 veículo (tipo Van) adaptado para ambulância.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,4,Fênix,Escritório Regional de Maringá,18,1923/2013-0462,Comunidade dos Municípios da Região de Campo Mourão
Fênix,100239,A,96,21,2,Concluído,,1092,7/3/2014,7/4/2014,12/2/2013,7/4/2014,100,1,"172,900.00","172,900.00",0,LOTE 1- Aquisição de 01 veículo ( tipo pickup) adaptada para ambulânciaLOTE 2- Aquisição de 01 veículo (tipo Van) adaptado para ambulância.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,4,Fênix,Escritório Regional de Maringá,18,1923/2013-0462,Comunidade dos Municípios da Região de Campo Mourão
Fernandes Pinheiro,100238,A,384,13,1,Concluído,,1093,11/3/2014,11/4/2014,3/7/2014,11/4/2014,100,1,"215,950.00","199,953.70","15,996.30","Aquisição de Equipamento(s) Rodoviário(s) sendo: Lote 01 - 01 (UM) CAMINHÃO 4x2 equipado com TANQUE LIMPA FOSSA, potência mínima efetiva de 185 CV, Capacidade do Tanque Limpa Fossa de  8.000 litros, e  demais características técnicas constantes no MODELO ",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 20,,10051,1,2,Fernandes Pinheiro,Escritório Regional de Ponta Grossa,1,2023/2013-0653,Associação dos Municípios do Centro Sul do Paraná
Fernandes Pinheiro,100240,A,384,12,1,Concluído,,234,2/20/2014,10/14/2014,10/17/2013,10/14/2014,100,1,"195,788.75","195,788.75",0,"RECAPE - CBUQ.Avenida Ivo leão, entre a rua Vedolino Neves e a rua Romano Betega.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,2,Fernandes Pinheiro,Escritório Regional de Ponta Grossa,1,1923/2013-0156,Associação dos Municípios do Centro Sul do Paraná
Figueira,100065,A,97,11,1,Medição Encerrada,,223,3/12/2013,7/11/2014,5/15/2012,7/11/2014,100,1,"226,019.43","211,600.00","14,419.43",Pavimentação - Pedra Irregular e Lajota Sextavada.TRECHO LOTE 01Rua GuaraçaiRua GuarantãParte da Rua Cedro.TRECHO LOTE 02 Rua GardêniaRua GerânioParte da Rua Astrapéia.,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Figueira,Escritório Regional de Londrina,12,1723/2012-0014,Associação dos Municípios do Norte Pioneiro
Figueira,100068,A,97,12,1,Medição Encerrada,,223,6/30/2014,12/3/2014,4/28/2014,12/3/2014,100,1,"23,736.78","23,382.71",354.07,"Pavimentação - Pedra Irregular e Lajota Sextavada.Rua Tambaiba, entre a Rua Jacatirão e a Rua das Palmeiras.Rua Castanheira, entre a Rua Jaqueira e Terminio da Rua Castanheira.Rua Jaqueira, entre a Rua Castanheira e o Termino da Rua Jaqueira.Rua Aroeira, ",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Figueira,Escritório Regional de Londrina,12,1923/2013-0480,Associação dos Municípios do Norte Pioneiro
Flor da Serra do Sul,100092,A,98,16,1,Concluído,,234,7/2/2012,8/24/2012,5/12/2012,8/24/2012,100,1,"162,743.93","135,619.94","27,123.99",RECAPE - CBUQ.Rua Doroteo Ceratti (entre Rua José de Costa e Alinhamento do Pavilhão da Igreja).Rua Jose de Costa (entre Rua Belmiro Rimoldi e Rua Doroteo Ceratti).Rua Constante Carlos Zanella (entre a Faixa de Domínio da BR 280 até Final da Pavimentação ,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Flor da Serra do Sul,Escritório Regional de Cascavel,8,1723/2012-0055,Associação dos Municípios do Sudoeste do Paraná
Flor da Serra do Sul,100122,A,98,17,1,Concluído,,1097,6/18/2014,10/3/2014,10/15/2013,10/3/2014,100,1,"299,961.83","299,961.83",0,Urbanização / Calçadas.Rua Cristiano Bender - trecho entre as ruas Josefina Perondi e Luiz Perondi.Rua Josefina Perondi - trecho entre as ruas Cristiano Bender e Rene F. Damo.Rua Conrado Guimarães - trecho entre as ruas Cristiano Bender e Rene F. Damo.Rua,21,PROJETO CALÇADAS PARANÁ,21.23.01.01.05,URBANIZAÇÃO /CALÇADAS,,10051,1,5,Flor da Serra do Sul,Escritório Regional de Cascavel,8,2123/2013-0413,Associação dos Municípios do Sudoeste do Paraná
Flor da Serra do Sul,100241,A,98,19,1,Concluído,,233,6/18/2014,9/2/2015,2/4/2014,9/2/2015,100,1,"162,952.66","162,952.66",0,Capela Mortuária.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.06.09,CAPELA * MORTUÁRIA,,10051,1,5,Flor da Serra do Sul,Escritório Regional de Cascavel,8,1923/2013-0158,Associação dos Municípios do Sudoeste do Paraná
Flor da Serra do Sul,100242,A,98,18,1,Concluído,,223,6/11/2014,9/2/2015,12/12/2013,9/2/2015,100,1,"139,296.30","136,819.90","2,476.40",Pavimentação - Pedra Irregular e Lajota Sextavada.Rua Projetada A1 (Entre Rua Projetada E e Rua Projetada B).Rua Projetada A2 (Entre Rua Projetada B e Rua Projetada D).Rua Projetada B (Entre Rua Projetada A2 e Rua Projetada E).Rua Projetada C (Entre Rua P,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Flor da Serra do Sul,Escritório Regional de Cascavel,8,1923/2013-0159,Associação dos Municípios do Sudoeste do Paraná
Floraí,100123,A,99,14,1,Concluído,,1097,6/5/2014,1/19/2015,11/22/2013,1/19/2015,100,1,"299,995.98","299,995.98",0,Urbanização / Calçadas.Av. Fagion: entre r. 1º de Maio e R. Pedro Alvares de Cabral.Av. Fagion: entre R. São Paulo e R. 1º de Maio.Av. Fagion: entre R. Don Pedro II e R. São Paulo.Av. Fagion: entre Av. Brasil e R. Pedro Alvares Cabral.Av. Fagion: entre R.,21,PROJETO CALÇADAS PARANÁ,21.23.01.01.05,URBANIZAÇÃO /CALÇADAS,,10051,1,4,Floraí,Escritório Regional de Maringá,14,2123/2013-0414,Associação dos Municípos do Setentrião Paranaense
Floraí,100441,A,99,15,1,Concluído,,223,7/4/2014,6/24/2015,5/9/2014,6/24/2015,100,1,"343,544.56","343,544.56",0,Pavimentação - TST.RUA PROJETADA   E  entre r projetada L e r projetada P.RUA PROJETADA   F  entre r projetada J e r projetada L.RUA PROJETADA   J   entre r projetada F e r projetada D.RUA PROJETADA   K  entre r projetada F e r projetada D.RUA PROJETADA  ,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Floraí,Escritório Regional de Maringá,14,1923/2013-0597,Associação dos Municípos do Setentrião Paranaense
Floresta,100331,A,100,21,1,Medição Encerrada,,234,6/26/2014,11/27/2014,4/23/2014,11/27/2014,100,1,"323,764.00","308,011.52","15,752.48",RECAPE - CBUQ.RUA TIRADENTES entre a rua industrial e rua duque de caxias.RUA DUQUE DE CAXIAS entre a rua tiradentes e rua sete de setembro.RUA CARLOS GOMES entre a rua sete de setembro e rua tiradentes.RUA SETE DE SETEMBRO entre a rua duque de caxias e r,20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Floresta,Escritório Regional de Maringá,14,2023/2014-0014,Associação dos Municípos do Setentrião Paranaense
